Model,resampling_technique,y,Accuracy,weighted_score_9_rec,weighted_score_9_pr,f1_score_bad
AdaBoostClassifier,None,y6,0.9856,0.0000,0.0000,0.0000
XGBClassifier,None,y6,0.9851,0.0000,0.0000,0.0000
RandomForestClassifier,None,y6,0.9846,0.0000,0.0000,0.0000
ExtraTreesClassifier,None,y6,0.9835,0.0000,0.0000,0.0000
DummyClassifier,None,y6,0.9722,0.0000,0.0000,0.0000
KNeighborsClassifier,None,y6,0.9856,0.0000,0.0000,0.0000
DummyClassifier,over-samplig,y6,0.5057,0.4837,0.0676,0.0303
GaussianNB,over-samplig,y6,0.4964,0.3225,0.0450,0.0200
DecisionTreeClassifier,over-samplig,y6,0.9635,0.1701,0.1028,0.1235
LinearSVC,over-samplig,y6,0.9866,0.1643,0.9071,0.1333
BernoulliNB,over-samplig,y6,0.7901,0.1620,0.0294,0.0239
NearestCentroid,over-samplig,y6,0.7659,0.1619,0.0282,0.0215
LabelPropagation,over-samplig,y6,0.9218,0.1316,0.0416,0.0500
LabelSpreading,over-samplig,y6,0.9213,0.1316,0.0414,0.0497
AdaBoostClassifier,over-samplig,y6,0.9172,0.1314,0.0398,0.0473
BaggingClassifier,over-samplig,y6,0.9799,0.1141,0.1695,0.1333
PassiveAggressiveClassifier,over-samplig,y6,0.9198,0.0987,0.0309,0.0370
XGBClassifier,over-samplig,y6,0.9841,0.0929,0.2643,0.1143
CalibratedClassifierCV,over-samplig,y6,0.9830,0.0865,0.2071,0.1081
QuadraticDiscriminantAnalysis,over-samplig,y6,0.9830,0.0865,0.2071,0.1081
SGDClassifier,over-samplig,y6,0.9825,0.0843,0.1871,0.1053
Perceptron,over-samplig,y6,0.9414,0.0665,0.0271,0.0339
LogisticRegression,over-samplig,y6,0.9846,0.0571,0.2286,0.0625
RandomForestClassifier,over-samplig,y6,0.9830,0.0464,0.1321,0.0571
LGBMClassifier,over-samplig,y6,0.9830,0.0464,0.1321,0.0571
ExtraTreeClassifier,over-samplig,y6,0.9624,0.0343,0.0227,0.0267
NuSVC,over-samplig,y6,0.9429,0.0333,0.0142,0.0177
LinearDiscriminantAnalysis,over-samplig,y6,0.9856,0.0000,0.0000,0.0000
RidgeClassifier,over-samplig,y6,0.9856,0.0000,0.0000,0.0000
RidgeClassifierCV,over-samplig,y6,0.9856,0.0000,0.0000,0.0000
ExtraTreesClassifier,over-samplig,y6,0.9810,0.0000,0.0000,0.0000
SVC,over-samplig,y6,0.9763,0.0000,0.0000,0.0000
KNeighborsClassifier,over-samplig,y6,0.9697,0.0000,0.0000,0.0000
QuadraticDiscriminantAnalysis,under-sampling,y6,0.5015,0.6449,0.0898,0.0396
LabelSpreading,under-sampling,y6,0.4244,0.6446,0.0873,0.0345
LabelPropagation,under-sampling,y6,0.4213,0.6446,0.0873,0.0343
SVC,under-sampling,y6,0.5062,0.5159,0.0721,0.0323
XGBClassifier,under-sampling,y6,0.5231,0.4838,0.0681,0.0313
DummyClassifier,under-sampling,y6,0.5057,0.4837,0.0676,0.0303
KNeighborsClassifier,under-sampling,y6,0.5556,0.4516,0.0646,0.0314
PassiveAggressiveClassifier,under-sampling,y6,0.4897,0.4514,0.0627,0.0275
RandomForestClassifier,under-sampling,y6,0.5499,0.4193,0.0598,0.0289
ExtraTreesClassifier,under-sampling,y6,0.5484,0.4193,0.0598,0.0288
NuSVC,under-sampling,y6,0.5319,0.4193,0.0593,0.0278
NearestCentroid,under-sampling,y6,0.5134,0.4192,0.0588,0.0267
BernoulliNB,under-sampling,y6,0.5036,0.4192,0.0586,0.0262
BaggingClassifier,under-sampling,y6,0.4645,0.4191,0.0577,0.0244
LinearDiscriminantAnalysis,under-sampling,y6,0.5586,0.3871,0.0555,0.0272
LinearSVC,under-sampling,y6,0.5550,0.3871,0.0554,0.0270
DecisionTreeClassifier,under-sampling,y6,0.5530,0.3871,0.0553,0.0269
LGBMClassifier,under-sampling,y6,0.5499,0.3871,0.0553,0.0267
LogisticRegression,under-sampling,y6,0.5489,0.3871,0.0552,0.0266
RidgeClassifierCV,under-sampling,y6,0.5437,0.3871,0.0551,0.0263
SGDClassifier,under-sampling,y6,0.5087,0.3870,0.0542,0.0245
CalibratedClassifierCV,under-sampling,y6,0.5854,0.3549,0.0517,0.0266
RidgeClassifier,under-sampling,y6,0.5535,0.3548,0.0508,0.0247
AdaBoostClassifier,under-sampling,y6,0.5417,0.3548,0.0505,0.0241
ExtraTreeClassifier,under-sampling,y6,0.5170,0.3548,0.0499,0.0229
Perceptron,under-sampling,y6,0.6358,0.2906,0.0437,0.0248
GaussianNB,under-sampling,y6,0.8796,0.1630,0.0387,0.0410
DummyClassifier,over-under-sampling,y6,0.4717,0.4514,0.0623,0.0265
GaussianNB,over-under-sampling,y6,0.4949,0.3225,0.0450,0.0200
AdaBoostClassifier,over-under-sampling,y6,0.8889,0.2285,0.0562,0.0609
DecisionTreeClassifier,over-under-sampling,y6,0.9588,0.1688,0.0904,0.1111
LinearSVC,over-under-sampling,y6,0.9866,0.1643,0.9071,0.1333
LabelPropagation,over-under-sampling,y6,0.9043,0.1637,0.0446,0.0510
LabelSpreading,over-under-sampling,y6,0.9043,0.1637,0.0446,0.0510
BernoulliNB,over-under-sampling,y6,0.7706,0.1619,0.0284,0.0219
NearestCentroid,over-under-sampling,y6,0.7608,0.1618,0.0279,0.0211
BaggingClassifier,over-under-sampling,y6,0.9666,0.1034,0.0735,0.0845
QuadraticDiscriminantAnalysis,over-under-sampling,y6,0.9835,0.0893,0.2321,0.1111
CalibratedClassifierCV,over-under-sampling,y6,0.9825,0.0843,0.1871,0.1053
PassiveAggressiveClassifier,over-under-sampling,y6,0.9635,0.0685,0.0454,0.0533
Perceptron,over-under-sampling,y6,0.9630,0.0685,0.0446,0.0526
ExtraTreeClassifier,over-under-sampling,y6,0.9501,0.0670,0.0318,0.0396
LogisticRegression,over-under-sampling,y6,0.9835,0.0488,0.1536,0.0588
LGBMClassifier,over-under-sampling,y6,0.9825,0.0446,0.1161,0.0556
XGBClassifier,over-under-sampling,y6,0.9820,0.0433,0.1036,0.0541
RandomForestClassifier,over-under-sampling,y6,0.9810,0.0412,0.0854,0.0513
SGDClassifier,over-under-sampling,y6,0.9738,0.0361,0.0396,0.0377
KNeighborsClassifier,over-under-sampling,y6,0.9604,0.0341,0.0212,0.0253
NuSVC,over-under-sampling,y6,0.9316,0.0331,0.0120,0.0148
RidgeClassifier,over-under-sampling,y6,0.9846,0.0000,0.0000,0.0000
RidgeClassifierCV,over-under-sampling,y6,0.9846,0.0000,0.0000,0.0000
ExtraTreesClassifier,over-under-sampling,y6,0.9758,0.0000,0.0000,0.0000
SVC,over-under-sampling,y6,0.9753,0.0000,0.0000,0.0000
LinearDiscriminantAnalysis,over-under-sampling,y6,0.9851,0.0000,0.0000,0.0000
